date,time,no,pm10,pm25
2021-01-01,01:00:00,1.43738,25.838,22.453
2021-01-01,02:00:00,2.08652,21.028,19.099
2021-01-01,03:00:00,1.39101,23.18,20.925
2021-01-01,04:00:00,0.76506,22.053,19.974
2021-01-01,05:00:00,0.79983,18.625,17.363
2021-01-01,06:00:00,0.73028,13.31,12.434
2021-01-01,07:00:00,0.93893,14.485,13.316
2021-01-01,08:00:00,1.11281,14.475,13.335
2021-01-01,09:00:00,1.28669,18.29,16.811
2021-01-01,10:00:00,1.21713,20.92,19.01
2021-01-01,11:00:00,1.80831,23.883,21.757
2021-01-01,12:00:00,2.88635,25.043,22.738
2021-01-01,13:00:00,5.04241,27.743,24.545
2021-01-01,14:00:00,5.70315,31.18,27.694
2021-01-01,15:00:00,7.12893,29.4,25.764
2021-01-01,16:00:00,7.33758,24.65,22.068
2021-01-01,17:00:00,7.0246,25.54,22.229
2021-01-01,18:00:00,8.93724,24.525,20.708
2021-01-01,19:00:00,12.27567,22.445,19.385
2021-01-01,20:00:00,13.00595,20.583,16.995
2021-01-01,21:00:00,2.8168,17.545,14.024
2021-01-01,22:00:00,2.46904,14.168,11.314
2021-01-01,23:00:00,2.05174,10.445,7.723
2021-01-01,24:00:00,1.80831,8.784,6.831
2021-01-02,01:00:00,1.29809,7.911,6.451
2021-01-02,02:00:00,1.25173,7.774,6.331
2021-01-02,03:00:00,1.63421,8.831,6.814
2021-01-02,04:00:00,1.39081,7.707,5.89
2021-01-02,05:00:00,2.29484,8.871,6.106
2021-01-02,06:00:00,1.21696,7.947,4.799
2021-01-02,07:00:00,1.18219,8.553,5.698
2021-01-02,08:00:00,1.94714,8.054,6.179
2021-01-02,09:00:00,4.93739,6.034,4.606
2021-01-02,10:00:00,3.65088,6.074,4.145
2021-01-02,11:00:00,4.65922,5.216,3.64
2021-01-02,12:00:00,6.71067,5.483,3.665
2021-01-02,13:00:00,5.3894,5.056,3.356
2021-01-02,14:00:00,6.25866,4.161,2.722
2021-01-02,15:00:00,4.55491,4.725,3.525
2021-01-02,16:00:00,5.49371,5.7,3.463
2021-01-02,17:00:00,16.65498,7.761,5.755
2021-01-02,18:00:00,3.82473,7.593,6.042
2021-01-02,19:00:00,5.18078,8.844,6.975
2021-01-02,20:00:00,5.56325,11.245,8.914
2021-01-02,21:00:00,2.43392,12.18,9.546
2021-01-02,22:00:00,2.26007,11.928,10.526
2021-01-02,23:00:00,1.42558,12.858,11.335
2021-01-02,24:00:00,0.76495,12.87,11.29
2021-01-03,01:00:00,0.83437,10.408,9.514
2021-01-03,02:00:00,0.6026,7.119,6.557
2021-01-03,03:00:00,0.59101,6.305,5.812
2021-01-03,04:00:00,1.04296,4.691,4.307
2021-01-03,05:00:00,0.73007,5.115,4.574
2021-01-03,06:00:00,1.25155,10.417,9.404
2021-01-03,07:00:00,0.66054,8.235,7.299
2021-01-03,08:00:00,1.11249,7.88,7.017
2021-01-03,09:00:00,1.14726,8.25,7.166
2021-01-03,10:00:00,1.39062,7.179,5.942
2021-01-03,11:00:00,2.46834,6.123,4.983
2021-01-03,12:00:00,2.98982,5.561,4.434
2021-01-03,13:00:00,4.17184,5.368,4.059
2021-01-03,14:00:00,3.54607,5.289,4.015
2021-01-03,15:00:00,3.37224,5.583,3.693
2021-01-03,16:00:00,2.64217,4.134,2.726
2021-01-03,17:00:00,1.94686,5.205,3.811
2021-01-03,18:00:00,2.85076,5.827,4.61
2021-01-03,19:00:00,1.63397,7.216,6.192
2021-01-03,20:00:00,4.24137,8.422,7.047
2021-01-03,21:00:00,1.73827,9.994,7.76
2021-01-03,22:00:00,1.0082,9.5,7.77
2021-01-03,23:00:00,0.86913,8.999,7.181
2021-01-03,24:00:00,0.76484,7.947,6.252
2021-01-04,01:00:00,1.11233,5.924,4.729
2021-01-04,02:00:00,0.46347,6.306,4.669
2021-01-04,03:00:00,0.52141,6.575,4.445
2021-01-04,04:00:00,0.69521,6.554,4.175
2021-01-04,05:00:00,0.59093,6.536,3.731
2021-01-04,06:00:00,0.86901,5.474,3.278
2021-01-04,07:00:00,1.77278,5.171,3.069
2021-01-04,08:00:00,2.08562,5.074,3.132
2021-01-04,09:00:00,1.6685,5.327,3.189
2021-01-04,10:00:00,1.87706,4.619,3.012
2021-01-04,11:00:00,2.50275,4.53,2.991
2021-01-04,12:00:00,2.08562,5.087,3.256
2021-01-04,13:00:00,2.15515,7.591,4.281
2021-01-04,14:00:00,3.40652,7.436,3.922
2021-01-04,15:00:00,3.40652,5.734,3.3
2021-01-04,16:00:00,2.88512,5.876,3.243
2021-01-04,17:00:00,2.60703,4.979,2.844
2021-01-04,18:00:00,2.57227,5.804,3.445
2021-01-04,19:00:00,1.91182,7.006,3.878
2021-01-04,20:00:00,1.56422,5.74,3.303
2021-01-04,21:00:00,1.04281,5.889,3.474
2021-01-04,22:00:00,1.04281,5.878,3.322
2021-01-04,23:00:00,0.83425,5.196,3.22
2021-01-04,24:00:00,0.83425,4.799,2.712
2021-01-05,01:00:00,0.50975,3.846,2.147
2021-01-05,02:00:00,0.74145,4.232,2.263
2021-01-05,03:00:00,0.72987,4.84,2.366
