date,time,no,pm10,pm25
2021-01-01,01:00:00,1.50558,35.15,30.448
2021-01-01,02:00:00,4.42819,65.475,55.802
2021-01-01,03:00:00,1.39488,32.675,28.278
2021-01-01,04:00:00,0.96313,17.6,15.613
2021-01-01,05:00:00,1.29525,21.65,19.764
2021-01-01,06:00:00,1.4613,19.125,17.618
2021-01-01,07:00:00,0.96313,16.4,15.189
2021-01-01,08:00:00,1.06276,16.575,15.024
2021-01-01,09:00:00,1.02955,17.2,15.896
2021-01-01,10:00:00,2.22516,19.625,18.066
2021-01-01,11:00:00,2.15874,21.775,20.165
2021-01-01,12:00:00,3.65325,26.925,24.481
2021-01-01,13:00:00,6.37659,29.825,26.958
2021-01-01,14:00:00,8.36927,31.65,28.396
2021-01-01,15:00:00,7.14045,31.225,27.948
2021-01-01,16:00:00,13.08529,27.725,24.505
2021-01-01,17:00:00,8.23643,24.2,21.439
2021-01-01,18:00:00,14.38054,24.05,20.401
2021-01-01,19:00:00,17.7681,23.575,20.047
2021-01-01,20:00:00,6.77513,23.3,19.976
2021-01-01,21:00:00,3.65325,17.75,14.34
2021-01-01,22:00:00,2.15874,12.1,9.057
2021-01-01,23:00:00,1.89305,11.65,8.585
2021-01-01,24:00:00,1.49451,11.05,8.443
2021-01-02,01:00:00,1.55434,9.025,7.264
2021-01-02,02:00:00,1.46553,8.2,6.84
2021-01-02,03:00:00,1.09914,9.825,7.453
2021-01-02,04:00:00,0.93261,9.225,7.052
2021-01-02,05:00:00,1.06584,8.725,6.675
2021-01-02,06:00:00,1.19907,9.05,5.778
2021-01-02,07:00:00,1.29899,7.925,4.835
2021-01-02,08:00:00,1.69868,6.875,4.363
2021-01-02,09:00:00,1.99844,4.5,2.995
2021-01-02,10:00:00,4.66303,4.525,2.995
2021-01-02,11:00:00,5.06272,5.125,3.585
2021-01-02,12:00:00,4.89619,5.6,3.939
2021-01-02,13:00:00,4.26335,5.55,3.491
2021-01-02,14:00:00,2.46475,4.3,2.877
2021-01-02,15:00:00,3.03097,6.475,5.236
2021-01-02,16:00:00,2.49805,7.275,5.637
2021-01-02,17:00:00,6.22848,9.175,7.052
2021-01-02,18:00:00,10.89151,10.125,8.066
2021-01-02,19:00:00,11.62428,13.075,10.566
2021-01-02,20:00:00,5.4291,12.725,10.519
2021-01-02,21:00:00,3.09759,12.925,10.519
2021-01-02,22:00:00,2.66459,12.725,10.708
2021-01-02,23:00:00,2.09836,14.55,12.689
2021-01-02,24:00:00,1.59875,15.025,13.326
2021-01-03,01:00:00,1.55882,14.275,12.925
2021-01-03,02:00:00,1.33614,8.675,7.854
2021-01-03,03:00:00,1.0355,6.925,6.203
2021-01-03,04:00:00,1.0021,5.475,5.047
2021-01-03,05:00:00,0.9687,6.525,5.873
2021-01-03,06:00:00,1.20252,10.775,9.835
2021-01-03,07:00:00,5.34454,10.75,9.599
2021-01-03,08:00:00,3.57416,9.7,8.538
2021-01-03,09:00:00,5.47815,10.075,8.656
2021-01-03,10:00:00,5.44475,7.75,6.415
2021-01-03,11:00:00,5.07731,7.4,5.684
2021-01-03,12:00:00,6.24643,6.25,5.165
2021-01-03,13:00:00,5.9124,6.475,4.929
2021-01-03,14:00:00,3.9416,6.725,4.906
2021-01-03,15:00:00,5.14412,6.4,4.575
2021-01-03,16:00:00,3.67437,5.325,3.915
2021-01-03,17:00:00,2.37164,6.05,4.741
2021-01-03,18:00:00,2.13781,7.4,6.297
2021-01-03,19:00:00,2.33824,8.9,7.5
2021-01-03,20:00:00,2.47185,10.65,9.151
2021-01-03,21:00:00,2.23803,11.775,9.953
2021-01-03,22:00:00,1.53656,11.275,9.269
2021-01-03,23:00:00,1.43635,10.175,8.137
2021-01-03,24:00:00,1.33614,9.775,7.288
2021-01-04,01:00:00,1.25064,7.2,5.33
2021-01-04,02:00:00,1.13898,7.125,5.189
2021-01-04,03:00:00,1.17248,8.075,5.142
2021-01-04,04:00:00,1.07198,7.1,4.458
2021-01-04,05:00:00,1.07198,6.775,3.939
2021-01-04,06:00:00,1.23948,6.075,3.561
2021-01-04,07:00:00,1.64147,5.7,3.396
2021-01-04,08:00:00,1.77547,5.775,3.349
2021-01-04,09:00:00,1.87596,4.875,3.137
2021-01-04,10:00:00,2.57945,5.55,3.208
2021-01-04,11:00:00,3.68493,5.075,2.972
2021-01-04,12:00:00,2.78045,5.35,3.255
2021-01-04,13:00:00,2.51245,9.025,4.788
2021-01-04,14:00:00,2.11046,7.225,4.292
2021-01-04,15:00:00,1.84246,5.05,3.113
2021-01-04,16:00:00,2.27796,5.475,3.09
2021-01-04,17:00:00,1.90946,5.6,3.09
2021-01-04,18:00:00,1.67497,6.45,3.892
2021-01-04,19:00:00,1.57447,8.05,4.693
2021-01-04,20:00:00,1.54097,6.875,4.104
2021-01-04,21:00:00,1.50747,8.275,5.165
2021-01-04,22:00:00,1.20598,6.6,4.104
2021-01-04,23:00:00,1.40697,6.525,3.797
2021-01-04,24:00:00,1.07198,5.975,3.255
2021-01-05,01:00:00,0.94067,4.8,2.783
2021-01-05,02:00:00,1.07505,5.075,2.594
2021-01-05,03:00:00,0.90707,5.05,2.476
